name,label
isigodi_banzaneni,Banzaneni
isigodi_deprecated,Deprecated
isigodi_default,Default
isigodi_dukumbane,Dukumbane
isigodi_dukuduku,Dukuduku
isigodi_dontknow,Don't know
isigodi_ebaswazini,Ebaswazini
isigodi_egula_hlabisa,Egula (Hlabisa)
isigodi_egula_mdletshe,Egula (Mdletshe)
isigodi_ekuphisweni,Ekuphisweni
isigodi_empembeni,Empembeni
isigodi_esiyembeni,Esiyembeni
isigodi_gunjaneni,Gunjaneni
isigodi_hlabisa mission,Hlabisa Mission
isigodi_hlambanyathi,Hlambanyathi
isigodi_inhlawathi,Inhlawathi
isigodi_khalokazi ,Khalokazi
isigodi_kwamsane,KwaMsane (Isigodi)
isigodi_kwamsane_township,KwaMsane (Township)
isigodi_kwamseme,KwaMseme
isigodi_kwahoho,Kwahoho
isigodi_mabudeni ,Mabudeni
isigodi_mabhokweni,Mabhokweni
isigodi_machibini ,Machibini
isigodi_macekeni,Macekeni
isigodi_macambini,Macambini
isigodi_madondo,Madondo
isigodi_mfekayi ,Mfekayi
isigodi_mgangatho,M gangatho
isigodi_mahunjini,Mahunjini
isigodi_missing,Missing
isigodi_makhambane,Makhambane
isigodi_makopini,Makopini
isigodi_mapheleni,Mapheleni
isigodi_msha ya,Msha ya
isigodi_mtubatuba,Mtubatuba
isigodi_mthwadlana,Mthwadlana
isigodi_matshamnyama_east,Matshamnyama-East
isigodi_matshamhlophe,Matshamhlophe
isigodi_matshamnyama_west,Matshamnyama-West
isigodi_mathunzi,Mathunzi
isigodi_mvutshini,Mvutshini
isigodi_madwaleni,Madwaleni
isigodi_myeki,Myeki
isigodi_nonapplicable,Non applicable
isigodi_ncwabakazi,Ncwabakazi
isigodi_ndlovuvillage,NdlovuVillage
isigodi_ngondini,Ngondini
isigodi_nkundusi,Nkundusi
isigodi_nkolokotho,Nkolokotho
isigodi_nkombose,Nkombose
isigodi_mak howe,Mak howe
isigodi_nomathiya,Nomathiya
isigodi_nompondo,Nompondo
isigodi_nqopheni,Nqopheni
isigodi_nsolweni,Nsolweni
isigodi_mthekwini,Mthekwini
isigodi_ogengel e,Ogengel e
isigodi_ophondweni,Ophondweni
isigodi_ophaphasi_mdletshe,Ophaphasi (Mdletshe)
isigodi_ophaphasi_mpukunyoni,Ophaphasi (Mpukunyoni)
isigodi_other,Other
isigodi_qakwini,Qakwini
isigodi_qunwane,Qunwane
isigodi_query,Query
isigodi_shikishela,Shikishela
isigodi_stlucia,StLucia
isigodi_stezi,Stezi
isigodi_sovane,Sovane
